Date;Hour;Net Load
2023-08-26;9;5045.0
2023-08-26;10;4673.0
2023-08-26;11;4308.0
2023-08-26;12;4075.0
2023-08-26;13;4127.0
2023-08-26;14;4362.0
2023-08-26;15;4474.0
2023-08-26;16;4933.0
2023-08-26;17;5321.0
2023-08-26;18;5765.0
2023-08-26;19;6271.0
2023-08-26;20;6562.0
2023-08-26;21;6763.0
2023-08-26;22;6617.0
2023-08-26;23;6316.0
2023-08-26;24;6039.0
2023-08-27;1;5769.0
2023-08-27;2;5457.0
2023-08-27;3;5224.0
2023-08-27;4;5016.0
2023-08-27;5;4918.0
2023-08-27;6;4839.0
2023-08-27;7;4810.0
2023-08-27;8;4639.0
2023-08-27;9;4202.0
2023-08-27;10;3607.0
2023-08-27;11;3160.0
2023-08-27;12;2939.0
2023-08-27;13;2980.0
2023-08-27;14;3086.0
2023-08-27;15;3207.0
2023-08-27;16;3435.0
2023-08-27;17;3999.0
2023-08-27;18;4814.0
2023-08-27;19;5703.0
2023-08-27;20;6312.0
2023-08-27;21;6638.0
2023-08-27;22;6695.0
2023-08-27;23;6427.0
2023-08-27;24;6188.0
2023-08-28;1;5843.0
2023-08-28;2;5525.0
2023-08-28;3;5307.0
2023-08-28;4;5122.0
2023-08-28;5;4978.0
2023-08-28;6;5016.0
2023-08-28;7;5270.0
2023-08-28;8;5487.0
2023-08-28;9;5363.0
2023-08-28;10;5073.0
2023-08-28;11;4757.0
2023-08-28;12;4525.0
2023-08-28;13;4534.0
2023-08-28;14;4662.0
2023-08-28;15;4838.0
2023-08-28;16;5014.0
2023-08-28;17;5347.0
2023-08-28;18;5964.0
2023-08-28;19;6816.0
2023-08-28;20;7290.0
2023-08-28;21;7540.0
2023-08-28;22;7352.0
2023-08-28;23;6889.0
2023-08-28;24;6547.0
2023-08-29;1;6210.0
2023-08-29;2;5812.0
2023-08-29;3;5572.0
2023-08-29;4;5388.0
2023-08-29;5;5268.0
2023-08-29;6;5273.0
2023-08-29;7;5491.0
2023-08-29;8;5637.0
2023-08-29;9;5714.0
2023-08-29;10;5700.0
2023-08-29;11;5396.0
2023-08-29;12;4955.0
2023-08-29;13;4630.0
2023-08-29;14;4554.0
2023-08-29;15;4620.0
2023-08-29;16;4795.0
2023-08-29;17;5065.0
2023-08-29;18;5699.0
2023-08-29;19;6581.0
2023-08-29;20;7068.0
2023-08-29;21;7349.0
2023-08-29;22;7130.0
2023-08-29;23;6690.0
2023-08-29;24;6380.0
2023-08-30;1;6020.0
2023-08-30;2;5681.0
2023-08-30;3;5379.0
2023-08-30;4;5229.0
2023-08-30;5;5129.0
2023-08-30;6;5153.0
2023-08-30;7;5360.0
2023-08-30;8;5508.0
2023-08-30;9;5248.0
2023-08-30;10;4772.0
2023-08-30;11;4377.0
2023-08-30;12;4091.0
2023-08-30;13;3946.0
2023-08-30;14;3997.0
2023-08-30;15;4220.0
2023-08-30;16;4267.0
2023-08-30;17;4569.0
2023-08-30;18;5236.0
2023-08-30;19;6135.0
2023-08-30;20;6672.0
2023-08-30;21;6975.0
2023-08-30;22;6768.0
2023-08-30;23;6386.0
2023-08-30;24;6157.0
2023-09-01;1;5487.0
2023-09-01;2;5250.0
2023-09-01;3;5030.0
2023-09-01;4;4870.0
2023-09-01;5;4756.0
2023-09-01;6;4781.0
2023-09-01;7;5050.0
2023-09-01;8;5228.0
2023-09-01;9;5203.0
2023-09-01;10;4990.0
2023-09-01;11;4595.0
2023-09-01;12;4423.0
2023-09-01;13;4429.0
2023-09-01;14;4486.0
2023-09-01;15;4468.0
2023-09-01;16;4449.0
2023-09-01;17;4580.0
2023-09-01;18;5075.0
2023-09-01;19;5754.0
2023-09-01;20;6346.0
2023-09-01;21;6732.0
2023-09-01;22;6462.0
2023-09-01;23;5994.0
2023-09-01;24;5711.0
2023-09-02;1;5385.0
2023-09-02;2;5113.0
2023-09-02;3;4895.0
2023-09-02;4;4728.0
2023-09-02;5;4621.0
2023-09-02;6;4552.0
2023-09-02;7;4616.0
2023-09-02;8;4588.0
2023-09-02;9;4335.0
2023-09-02;10;3832.0
2023-09-02;11;3314.0
2023-09-02;12;3027.0
2023-09-02;13;2978.0
2023-09-02;14;3034.0
2023-09-02;15;3091.0
2023-09-02;16;3289.0
2023-09-02;17;3832.0
2023-09-02;18;4544.0
2023-09-02;19;5373.0
2023-09-02;20;5963.0
2023-09-02;21;6199.0
2023-09-02;22;5949.0
2023-09-02;23;5584.0
2023-09-02;24;5263.0
2023-09-03;1;5049.0
2023-09-03;2;4761.0
2023-09-03;3;4544.0
2023-09-03;4;4380.0
2023-09-03;5;4237.0
2023-09-03;6;4191.0
2023-09-03;7;4211.0
2023-09-03;8;4085.0
2023-09-03;9;3648.0
2023-09-03;10;2964.0
2023-09-03;11;2395.0
2023-09-03;12;2204.0
2023-09-03;13;2171.0
2023-09-03;14;2258.0
2023-09-03;15;2168.0
2023-09-03;16;2291.0
2023-09-03;17;2861.0
2023-09-03;18;3755.0
2023-09-03;19;4680.0
2023-09-03;20;5390.0
2023-09-03;21;5731.0
2023-09-03;22;5653.0
2023-09-03;23;5386.0
2023-09-03;24;5136.0
2023-09-04;1;4941.0
2023-09-04;2;4627.0
2023-09-04;3;4429.0
2023-09-04;4;4244.0
2023-09-04;5;4108.0
2023-09-04;6;4173.0
2023-09-04;7;4471.0
2023-09-04;8;4769.0
2023-09-04;9;5039.0
2023-09-04;10;5203.0
2023-09-04;11;5119.0
2023-09-04;12;5194.0
2023-09-04;13;5283.0
2023-09-04;14;5290.0
2023-09-04;15;5167.0
2023-09-04;16;4994.0
2023-09-04;17;4824.0
2023-09-04;18;4961.0
2023-09-04;19;5193.0
2023-09-04;20;5395.0
2023-09-04;21;5667.0
2023-09-04;22;5419.0
2023-09-04;23;4929.0
2023-09-04;24;4642.0
2023-09-05;1;4423.0
2023-09-05;2;4147.0
2023-09-05;3;3970.0
2023-09-05;4;3866.0
2023-09-05;5;3900.0
2023-09-05;6;4002.0
2023-09-05;7;4336.0
2023-09-05;8;4624.0
2023-09-05;9;4909.0
2023-09-05;10;5239.0
2023-09-05;11;5221.0
2023-09-05;12;4980.0
2023-09-05;13;4938.0
2023-09-05;14;5127.0
2023-09-05;15;4807.0
2023-09-05;16;4622.0
2023-09-05;17;4555.0
2023-09-05;18;4756.0
2023-09-05;19;5048.0
2023-09-05;20;5331.0
2023-09-05;21;5622.0
2023-09-05;22;5339.0
2023-09-05;23;4857.0
2023-09-05;24;4535.0
2023-09-06;1;4186.0
2023-09-06;2;3950.0
2023-09-06;3;3835.0
2023-09-06;4;3752.0
2023-09-06;5;3732.0
2023-09-06;6;3792.0
2023-09-06;7;4082.0
2023-09-06;8;4425.0
2023-09-06;9;4826.0
2023-09-06;10;5030.0
2023-09-06;11;5047.0
2023-09-06;12;4901.0
2023-09-06;13;4913.0
2023-09-06;14;4834.0
2023-09-06;15;4803.0
2023-09-06;16;4721.0
2023-09-06;17;4756.0
2023-09-06;18;4734.0
2023-09-06;19;4952.0
2023-09-06;20;5213.0
2023-09-06;21;5573.0
2023-09-06;22;5298.0
2023-09-06;23;4796.0
2023-09-06;24;4467.0
2023-09-07;1;4112.0
2023-09-07;2;3822.0
2023-09-07;3;3719.0
2023-09-07;4;3619.0
2023-09-07;5;3581.0
2023-09-07;6;3663.0
2023-09-07;7;3971.0
2023-09-07;8;4341.0
2023-09-07;9;4655.0
2023-09-07;10;4668.0
2023-09-07;11;4470.0
2023-09-07;12;4394.0
2023-09-07;13;4422.0
2023-09-07;14;4488.0
2023-09-07;15;4397.0
2023-09-07;16;4245.0
2023-09-07;17;4248.0
2023-09-07;18;4510.0
2023-09-07;19;4820.0
2023-09-07;20;5127.0
2023-09-07;21;5458.0
2023-09-07;22;5184.0
2023-09-07;23;4675.0
2023-09-07;24;4404.0
2023-09-08;1;4032.0
2023-09-08;2;3738.0
2023-09-08;3;3588.0
2023-09-08;4;3489.0
2023-09-08;5;3454.0
2023-09-08;6;3560.0
2023-09-08;7;3840.0
2023-09-08;8;4118.0
2023-09-08;9;4138.0
2023-09-08;10;3770.0
2023-09-08;11;3246.0
2023-09-08;12;2764.0
2023-09-08;13;2395.0
2023-09-08;14;2382.0
2023-09-08;15;2326.0
2023-09-08;16;2388.0
2023-09-08;17;2711.0
2023-09-08;18;3479.0
2023-09-08;19;4410.0
2023-09-08;20;5060.0
2023-09-08;21;5390.0
2023-09-08;22;5161.0
2023-09-08;23;4803.0
2023-09-08;24;4512.0
2023-09-09;1;4213.0
2023-09-09;2;3965.0
2023-09-09;3;3769.0
2023-09-09;4;3671.0
2023-09-09;5;3614.0
2023-09-09;6;3714.0
2023-09-09;7;3806.0
2023-09-09;8;3820.0
2023-09-09;9;3585.0
2023-09-09;10;2993.0
2023-09-09;11;2510.0
2023-09-09;12;2162.0
2023-09-09;13;2141.0
2023-09-09;14;2203.0
2023-09-09;15;1983.0
2023-09-09;16;1964.0
2023-09-09;17;2313.0
2023-09-09;18;3090.0
2023-09-09;19;4060.0
2023-09-09;20;4819.0
2023-09-09;21;5164.0
2023-09-09;22;4866.0
2023-09-09;23;4548.0
2023-09-09;24;4250.0
2023-09-10;1;3974.0
2023-09-10;2;3707.0
2023-09-10;3;3524.0
2023-09-10;4;3408.0
2023-09-10;5;3363.0
2023-09-10;6;3376.0
2023-09-10;7;3440.0
2023-09-10;8;3347.0
2023-09-10;9;2848.0
2023-09-10;10;2203.0
2023-09-10;11;1727.0
2023-09-10;12;1464.0
2023-09-10;13;1268.0
2023-09-10;14;1238.0
2023-09-10;15;1122.0
2023-09-10;16;1285.0
2023-09-10;17;1761.0
2023-09-10;18;2617.0
2023-09-10;19;3729.0
2023-09-10;20;4513.0
2023-09-10;21;4982.0
2023-09-10;22;4858.0
2023-09-10;23;4507.0
2023-09-10;24;4192.0
2023-09-11;1;3876.0
2023-09-11;2;3604.0
2023-09-11;3;3436.0
2023-09-11;4;3375.0
2023-09-11;5;3342.0
2023-09-11;6;3450.0
2023-09-11;7;3867.0
2023-09-11;8;4176.0
2023-09-11;9;3987.0
2023-09-11;10;3333.0
2023-09-11;11;2724.0
2023-09-11;12;2316.0
2023-09-11;13;2191.0
2023-09-11;14;2187.0
2023-09-11;15;2082.0
2023-09-11;16;2135.0
2023-09-11;17;2498.0
2023-09-11;18;3331.0
2023-09-11;19;4427.0
2023-09-11;20;5299.0
2023-09-11;21;5713.0
2023-09-11;22;5401.0
2023-09-11;23;4910.0
2023-09-11;24;4513.0
2023-09-12;1;4183.0
2023-09-12;2;3904.0
2023-09-12;3;3731.0
2023-09-12;4;3668.0
2023-09-12;5;3677.0
